paper,authors,title,position,"contribution ID"
MOPA137,"B. Veglia, I. Agapov, J. Keil, L. Malina, E. Musa, T. Hellert, N. Carmignani, L. Carver, L. Hoummi, S. Liuzzo, S. White","Extremum seeking for accelerator optimisation",,1119
MOPA182,"Y. Guo, H. Ji, N. Li, Y. Jiao","Simulation study of the fringe field effects in the HEPS storage ring",,993
MOPA178,"J. Bengtsson, P. Goslawski","Withdrawn; see below.",,1591
MOPA165,"R. Versteegen, J. Chavanne","Impact of the insertion devices operation on the ESRF-EBS equilibrium emittance",,2627
MOPA099,"M. Delrieux, A. Huschauer, A. Lasheen, D. Cotte, E. Johnson, G. Imesch, K. Bilko, M. Coly, M. Fraser, P.A. Arrutia Sota, R. Garcia Alia, T. Bass","Production of slow extracted beams for CERN's East Area at the Proton Synchrotron",,2269
MOPA159,"H. Ghasem, I. Martin","Alternative Diamond-II storage ring optics with high beta section for improved injection",,1080
MOPA180,"C. Mitsuda, T. Honda, S. Nagahashi, D. Naito, T. Nogami, N. Nakamura, H. Sasaki, S. Sakanaka, H. Takaki, T. Uchiyama, N. Yamamoto, K. Hanagaki, J. Haba, Y. Ikegami, T. Mori, I. Nakamura, K. Satoh, M. Togawa, S. Abe, A. Maeda, J. Maeda, T. Odagawa, K. Sumi, N. Teramura","Construction and beam commissioning of the GeV-range test beamline at KEK PF-AR",,1903
MOPA039,"D. Xu, M. Blaskiewicz, Y. Luo, D. Marx, C. Montag, B. Podobedov","Effect of electron orbit ripple on proton emittance growth in EIC",,761
MOPA168,"J.-L. Revol, C. Benabderrahmane, P. Borowiec, E. Buratin, N. Carmignani, L. Carver, A. D'Elia, M. Dubrulle, F. Ewald, A. Franchi, G. Gautier, L. Hardy, L. Hoummi, J. Jacob, G. Le Bec, L. Jolly, I. Leconte, S. Liuzzo, T. Perron, Q. Qin, B. Roche, K. Scheidt, V. Serriere, R. Versteegen, S. White","Operation of the ESRF-EBS light source",,1588
MOPA075,"A. Zelinsky, A. Cherkashin, P. Gladkikh, I. Karnaukhov, A. Mytsykov","Modernization of the NSC KIPT hard X-ray source facility",,782
MOPA166,"R. Versteegen, J. Chavanne, G. Le Bec","Protection of insertion devices against radiation damage at ESRF-EBS",,2628
MOPA146,"X. Cui, Y. Zhao, Y. Jiao","Feasibility study of fast beam-based alignment using ac excitations in the HEPS",,953
MOPA175,"A. Hoehl, R. Klein, J. Li, J. Feikes, A. Kruschinski","Improved signal detection of the steady-state microbunching experiment at the Metrology Light Source",,788
MOPA150,"G. Wang","Path to high current 500 mA at NSLS-II",,680
MOPA070,"S. Kolokolchikov, A. Aksentyev, A. Melnikov, Y. Senichev","Spin coherence and betatron chromaticity of deuteron beam in NICA storage ring",,917
MOPA064,"E. Salehi, M. Katoh","Bayesian optimization of the dynamic aperture in UVSOR-IV design study",,1814
MOPA176,"A. Kruschinski, X. Deng, J. Feikes, A. Hoehl, R. Klein, J. Li, M. Ries","Exploring the necessary conditions for steady-state microbunching at the Metrology Light Source",,1594
MOPA141,"M. Morrone, C. Garion, P. Chiggiato, R. Kersevan, S. Rorison","Preliminary design of the FCC-ee vacuum chamber absorbers",,2691
MOPA179,"N. Higashi, C. Mitsuda, S. Nagahashi, K. Harada, T. Nogami, T. Uchiyama, N. Nakamura, T. Honda, M. Satoh, Y. Okayasu, Y. Enomoto","Modification of beam transport line design for simultaneous top-up injection to PF and PF-AR",,1885
MOPA181,"X. Li, Z. Li, Y. Zhao, Y. Jiao, Y. Han, X. Liu, X. Qi, W. Liu, S. Wang, L. Huang, J. Chen, C. Deng","Recent Progress of the Design and Relevant Research Activities for Southern Advanced Photon Source",,1905
MOPA110,"H. Iinuma, H. Nakayama, M. Abe, R. Matsushita, S. Ogawa, T. Yamanaka, T. Mibe, Y. Sato","Precise control of a strong X-Y coupling beam transportation for J-PARC muon g-2/EDM experiment",,1243
